Annotation_Label,CL_Label,CL_ID,CL_Match
thymic plasmacytoid dendritic cell,thymic plasmacytoid dendritic cell,CL:0000942,
Be1 Cell,Be1 Cell,CL:0000943,
Be2 cell,Be2 cell,CL:0000944,
lymphocyte of B lineage,lymphocyte of B lineage,CL:0000945,
antibody secreting cell,antibody secreting cell,CL:0000946,
IgE plasma cell,IgE plasma cell,CL:0000947,
IgE memory B cell,IgE memory B cell,CL:0000948,
IgD plasmablast,IgD plasmablast,CL:0000949,
IgE plasmablast,IgE plasmablast,CL:0000950,
IgE short lived plasma cell,IgE short lived plasma cell,CL:0000951,
preBCR-positive large pre-B-II cell,preBCR-positive large pre-B-II cell,CL:0000952,
preBCR-negative large pre-B-II cell,preBCR-negative large pre-B-II cell,CL:0000953,
small pre-B-II cell,small pre-B-II cell,CL:0000954,
pre-B-II cell,pre-B-II cell,CL:0000955,
pre-B-I cell,pre-B-I cell,CL:0000956,
large pre-B-II cell,large pre-B-II cell,CL:0000957,
T1 B cell,T1 B cell,CL:0000958,
T2 B cell,T2 B cell,CL:0000959,
T3 B cell,T3 B cell,CL:0000960,
Bm1 B cell,Bm1 B cell,CL:0000961,
Bm2 B cell,Bm2 B cell,CL:0000962,
Bm3-delta B cell,Bm3-delta B cell,CL:0000963,
Bm2' B cell,Bm2' B cell,CL:0000964,
Bm3 B cell,Bm3 B cell,CL:0000965,
Bm4 B cell,Bm4 B cell,CL:0000966,
Bm5 B cell,Bm5 B cell,CL:0000967,
Be cell,Be cell,CL:0000968,
regulatory B cell,regulatory B cell,CL:0000969,
unswitched memory B cell,unswitched memory B cell,CL:0000970,
IgM memory B cell,IgM memory B cell,CL:0000971,
class switched memory B cell,class switched memory B cell,CL:0000972,
IgA memory B cell,IgA memory B cell,CL:0000973,
long lived plasma cell,long lived plasma cell,CL:0000974,
short lived plasma cell,short lived plasma cell,CL:0000975,
IgA short lived plasma cell,IgA short lived plasma cell,CL:0000976,
IgG short lived plasma cell,IgG short lived plasma cell,CL:0000977,
IgM short lived plasma cell,IgM short lived plasma cell,CL:0000978,
IgG memory B cell,IgG memory B cell,CL:0000979,
plasmablast,plasmablast,CL:0000980,
double negative memory B cell,double negative memory B cell,CL:0000981,
IgG plasmablast,IgG plasmablast,CL:0000982,
IgM plasmablast,IgM plasmablast,CL:0000983,
IgA plasmablast,IgA plasmablast,CL:0000984,
IgG plasma cell,IgG plasma cell,CL:0000985,
IgM plasma cell,IgM plasma cell,CL:0000986,
IgA plasma cell,IgA plasma cell,CL:0000987,
hematopoietic cell,hematopoietic cell,CL:0000988,
CD11c-low plasmacytoid dendritic cell,CD11c-low plasmacytoid dendritic cell,CL:0000989,
conventional dendritic cell,conventional dendritic cell,CL:0000990,
CD11c-negative plasmacytoid dendritic cell,CD11c-negative plasmacytoid dendritic cell,CL:0000991,
immature CD11c-low plasmacytoid dendritic cell,immature CD11c-low plasmacytoid dendritic cell,CL:0000992,
mature CD11c-low plasmacytoid dendritic cell,mature CD11c-low plasmacytoid dendritic cell,CL:0000993,
immature CD11c-negative plasmacytoid dendritic cell,immature CD11c-negative plasmacytoid dendritic cell,CL:0000994,
"CD34-positive, CD38-positive common myeloid progenitor OR CD34-positive, CD38-positive common lymphoid progenitor","CD34-positive, CD38-positive common myeloid progenitor OR CD34-positive, CD38-positive common lymphoid progenitor",CL:0000995,
mature CD11c-negative plasmacytoid dendritic cell,mature CD11c-negative plasmacytoid dendritic cell,CL:0000996,
immature CD8_alpha-negative CD11b-positive dendritic cell,immature CD8_alpha-negative CD11b-positive dendritic cell,CL:0000997,
CD8_alpha-negative CD11b-negative dendritic cell,CD8_alpha-negative CD11b-negative dendritic cell,CL:0000998,
CD4-positive CD11b-positive dendritic cell,CD4-positive CD11b-positive dendritic cell,CL:0000999,
CD8_alpha-positive CD11b-negative dendritic cell,CD8_alpha-positive CD11b-negative dendritic cell,CL:0001000,
immature CD8_alpha-negative CD11b-negative dendritic cell,immature CD8_alpha-negative CD11b-negative dendritic cell,CL:0001001,
mature CD8_alpha-negative CD11b-negative dendritic cell,mature CD8_alpha-negative CD11b-negative dendritic cell,CL:0001002,
mature CD8_alpha-negative CD11b-positive dendritic cell,mature CD8_alpha-negative CD11b-positive dendritic cell,CL:0001003,
immature CD8_alpha-positive CD11b-negative dendritic cell,immature CD8_alpha-positive CD11b-negative dendritic cell,CL:0001004,
mature CD8_alpha-positive CD11b-negative dendritic cell,mature CD8_alpha-positive CD11b-negative dendritic cell,CL:0001005,
dermal dendritic cell,dermal dendritic cell,CL:0001006,
interstitial dendritic cell,interstitial dendritic cell,CL:0001007,
Kit and Sca1-positive hematopoietic stem cell,Kit and Sca1-positive hematopoietic stem cell,CL:0001008,
immature dermal dendritic cell,immature dermal dendritic cell,CL:0001009,
mature dermal dendritic cell,mature dermal dendritic cell,CL:0001010,
immature interstitial dendritic cell,immature interstitial dendritic cell,CL:0001011,
CD7-negative lymphoid progenitor OR granulocyte monocyte progenitor,CD7-negative lymphoid progenitor OR granulocyte monocyte progenitor,CL:0001012,
mature interstitial dendritic cell,mature interstitial dendritic cell,CL:0001013,
CD1a-positive Langerhans cell,CD1a-positive Langerhans cell,CL:0001014,
CD8_alpha-low Langerhans cell,CD8_alpha-low Langerhans cell,CL:0001015,
immature CD1a-positive Langerhans cell,immature CD1a-positive Langerhans cell,CL:0001016,
mature CD1a-positive Langerhans cell,mature CD1a-positive Langerhans cell,CL:0001017,
immature CD8_alpha-low Langerhans cell,immature CD8_alpha-low Langerhans cell,CL:0001018,
CD115-positive monocyte OR common dendritic progenitor,CD115-positive monocyte OR common dendritic progenitor,CL:0001019,
mature CD8_alpha-low Langerhans cell,mature CD8_alpha-low Langerhans cell,CL:0001020,
"CD34-positive, CD38-positive common lymphoid progenitor","CD34-positive, CD38-positive common lymphoid progenitor",CL:0001021,
CD115-positive monocyte,CD115-positive monocyte,CL:0001022,
"Kit-positive, CD34-positive common myeloid progenitor","Kit-positive, CD34-positive common myeloid progenitor",CL:0001023,
"CD34-positive, CD38-negative hematopoietic stem cell","CD34-positive, CD38-negative hematopoietic stem cell",CL:0001024,
"Kit-positive, Sca1-positive common lymphoid progenitor","Kit-positive, Sca1-positive common lymphoid progenitor",CL:0001025,
"CD34-positive, CD38-positive common myeloid progenitor","CD34-positive, CD38-positive common myeloid progenitor",CL:0001026,
CD7-negative lymphoid progenitor cell,CD7-negative lymphoid progenitor cell,CL:0001027,
CD7-positive lymphoid progenitor cell,CD7-positive lymphoid progenitor cell,CL:0001028,
common dendritic progenitor,common dendritic progenitor,CL:0001029,
CD117-positive common myeloid progenitor OR CD217-positive common lymphoid progenitor,CD117-positive common myeloid progenitor OR CD217-positive common lymphoid progenitor,CL:0001030,
cerebellar granule cell,cerebellar granule cell,CL:0001031,
cortical granule cell,cortical granule cell,CL:0001032,
hippocampal granule cell,hippocampal granule cell,CL:0001033,
cell in vitro,cell in vitro,CL:0001034,
bone cell,bone cell,CL:0001035,
terminally differentiated osteoblast,terminally differentiated osteoblast,CL:0001039,
non-terminally differentiated osteoblast,non-terminally differentiated osteoblast,CL:0001040,
"CD8-positive, CXCR3-positive, alpha-beta regulatory T cell","CD8-positive, CXCR3-positive, alpha-beta regulatory T cell",CL:0001041,
T-helper 22 cell,T-helper 22 cell,CL:0001042,
"activated CD4-positive, alpha-beta T cell, human","activated CD4-positive, alpha-beta T cell, human",CL:0001043,
"effector CD4-positive, alpha-beta T cell","effector CD4-positive, alpha-beta T cell",CL:0001044,
naive CCR4-positive regulatory T cell,naive CCR4-positive regulatory T cell,CL:0001045,
memory CCR4-positive regulatory T cell,memory CCR4-positive regulatory T cell,CL:0001046,
"CD4-positive, CD25-positive, CCR4-positive, alpha-beta regulatory T cell","CD4-positive, CD25-positive, CCR4-positive, alpha-beta regulatory T cell",CL:0001047,
"activated CD4-positive, CD25-positive, CCR4-positive, alpha-beta regulatory T cell, human","activated CD4-positive, CD25-positive, CCR4-positive, alpha-beta regulatory T cell, human",CL:0001048,
"activated CD8-positive, alpha-beta T cell, human","activated CD8-positive, alpha-beta T cell, human",CL:0001049,
"effector CD8-positive, alpha-beta T cell","effector CD8-positive, alpha-beta T cell",CL:0001050,
"CD4-positive, CXCR3-negative, CCR6-negative, alpha-beta T cell","CD4-positive, CXCR3-negative, CCR6-negative, alpha-beta T cell",CL:0001051,
"CD8-positive, CXCR3-negative, CCR6-negative, alpha-beta T cell","CD8-positive, CXCR3-negative, CCR6-negative, alpha-beta T cell",CL:0001052,
IgD-negative memory B cell,IgD-negative memory B cell,CL:0001053,
CD14-positive monocyte,CD14-positive monocyte,CL:0001054,
"CD14-positive, CD16-low monocyte","CD14-positive, CD16-low monocyte",CL:0001055,
"dendritic cell, human","dendritic cell, human",CL:0001056,
"myeloid dendritic cell, human","myeloid dendritic cell, human",CL:0001057,
"plasmacytoid dendritic cell, human","plasmacytoid dendritic cell, human",CL:0001058,
"common myeloid progenitor, CD34-positive","common myeloid progenitor, CD34-positive",CL:0001059,
"hematopoietic oligopotent progenitor cell, lineage-negative","hematopoietic oligopotent progenitor cell, lineage-negative",CL:0001060,
abnormal cell,abnormal cell,CL:0001061,
"effector memory CD8-positive, alpha-beta T cell, terminally differentiated","effector memory CD8-positive, alpha-beta T cell, terminally differentiated",CL:0001062,
neoplastic cell,neoplastic cell,CL:0001063,
malignant cell,malignant cell,CL:0001064,
innate lymphoid cell,innate lymphoid cell,CL:0001065,
"erythroid progenitor cell, mammalian","erythroid progenitor cell, mammalian",CL:0001066,
group 1 innate lymphoid cell,group 1 innate lymphoid cell,CL:0001067,
ILC1,ILC1,CL:0001068,
group 2 innate lymphoid cell,group 2 innate lymphoid cell,CL:0001069,
beige adipocyte,beige adipocyte,CL:0001070,
group 3 innate lymphoid cell,group 3 innate lymphoid cell,CL:0001071,
"CD34-negative, CD117-positive innate lymphoid cell, human","CD34-negative, CD117-positive innate lymphoid cell, human",CL:0001072,
"CD34-negative, CD56-positive, CD117-positive innate lymphoid cell, human","CD34-negative, CD56-positive, CD117-positive innate lymphoid cell, human",CL:0001073,
"CD34-positive, CD56-positive, CD117-positive common innate lymphoid precursor, human","CD34-positive, CD56-positive, CD117-positive common innate lymphoid precursor, human",CL:0001074,
"KLRG1-positive innate lymphoid cell, human","KLRG1-positive innate lymphoid cell, human",CL:0001075,
"NKp46-positive innate lymphoid cell, human","NKp46-positive innate lymphoid cell, human",CL:0001076,
"ILC1, human","ILC1, human",CL:0001077,
"group 3 innate lymphoid cell, human","group 3 innate lymphoid cell, human",CL:0001078,
"NKp44-positive group 3 innate lymphoid cell, human","NKp44-positive group 3 innate lymphoid cell, human",CL:0001079,
"NKp44-negative group 3 innate lymphoid cell, human","NKp44-negative group 3 innate lymphoid cell, human",CL:0001080,
"group 2 innate lymphoid cell, human","group 2 innate lymphoid cell, human",CL:0001081,
immature innate lymphoid cell,immature innate lymphoid cell,CL:0001082,
"effector memory CD4-positive, alpha-beta T cell, terminally differentiated","effector memory CD4-positive, alpha-beta T cell, terminally differentiated",CL:0001087,
"lymphocyte of B lineage, CD19-positive","lymphocyte of B lineage, CD19-positive",CL:0001200,
"B cell, CD19-positive","B cell, CD19-positive",CL:0001201,
CD86-positive plasmablast,CD86-positive plasmablast,CL:0001202,
"CD8-positive, alpha-beta memory T cell, CD45RO-positive","CD8-positive, alpha-beta memory T cell, CD45RO-positive",CL:0001203,
"CD4-positive, alpha-beta memory T cell, CD45RO-positive","CD4-positive, alpha-beta memory T cell, CD45RO-positive",CL:0001204,
visual pigment cell (sensu Nematoda and Protostomia),visual pigment cell (sensu Nematoda and Protostomia),CL:0001658,
Kit-positive erythroid progenitor cell,Kit-positive erythroid progenitor cell,CL:0002000,
"CD34-positive, CD38-positive granulocyte monocyte progenitor","CD34-positive, CD38-positive granulocyte monocyte progenitor",CL:0002001,
Kit-positive granulocyte monocyte progenitor,Kit-positive granulocyte monocyte progenitor,CL:0002002,
"CD34-positive, GlyA-negative erythroid progenitor cell","CD34-positive, GlyA-negative erythroid progenitor cell",CL:0002003,
"CD34-negative, GlyA-negative proerythroblast","CD34-negative, GlyA-negative proerythroblast",CL:0002004,
"CD34-positive, CD38-positive megakaryocyte erythroid progenitor cell","CD34-positive, CD38-positive megakaryocyte erythroid progenitor cell",CL:0002005,
"Kit-positive, CD34-negative megakaryocyte erythroid progenitor cell","Kit-positive, CD34-negative megakaryocyte erythroid progenitor cell",CL:0002006,
"Kit-low, CD34-positive eosinophil progenitor cell","Kit-low, CD34-positive eosinophil progenitor cell",CL:0002007,
"CD34-positive, CD38-positive eosinophil progenitor cell","CD34-positive, CD38-positive eosinophil progenitor cell",CL:0002008,
macrophage dendritic cell progenitor,macrophage dendritic cell progenitor,CL:0002009,
pre-conventional dendritic cell,pre-conventional dendritic cell,CL:0002010,
Kit-positive macrophage dendritic cell progenitor,Kit-positive macrophage dendritic cell progenitor,CL:0002011,
Kit-low proerythroblast,Kit-low proerythroblast,CL:0002012,
GlyA-positive basophilic erythroblast,GlyA-positive basophilic erythroblast,CL:0002013,
"Kit-negative, Ly-76 high basophilic erythroblast","Kit-negative, Ly-76 high basophilic erythroblast",CL:0002014,
"Kit-negative, Ly-76 high polychromatophilic erythroblast","Kit-negative, Ly-76 high polychromatophilic erythroblast",CL:0002015,
"CD71-low, GlyA-positive polychromatic erythroblast","CD71-low, GlyA-positive polychromatic erythroblast",CL:0002016,
"Kit-negative, Ly-76 high orthochromatophilic erythroblasts","Kit-negative, Ly-76 high orthochromatophilic erythroblasts",CL:0002017,
"CD71-negative, GlyA-positive orthochromatic erythroblast","CD71-negative, GlyA-positive orthochromatic erythroblast",CL:0002018,
Ly-76 high reticulocyte,Ly-76 high reticulocyte,CL:0002019,
GlyA-positive reticulocytes,GlyA-positive reticulocytes,CL:0002020,
GlyA-positive erythrocyte,GlyA-positive erythrocyte,CL:0002021,
Ly-76 high positive erythrocyte,Ly-76 high positive erythrocyte,CL:0002022,
"CD34-positive, CD41-positive, CD42-positive megakaryocyte progenitor cell","CD34-positive, CD41-positive, CD42-positive megakaryocyte progenitor cell",CL:0002023,
Kit-positive megakaryocyte progenitor cell,Kit-positive megakaryocyte progenitor cell,CL:0002024,
"CD34-positive, CD41-positive, CD42-negative megakaryocyte progenitor cell","CD34-positive, CD41-positive, CD42-negative megakaryocyte progenitor cell",CL:0002025,
"CD34-negative, CD41-positive, CD42-positive megakaryocyte cell","CD34-negative, CD41-positive, CD42-positive megakaryocyte cell",CL:0002026,
"CD9-positive, CD41-positive megakaryocyte cell","CD9-positive, CD41-positive megakaryocyte cell",CL:0002027,
basophil mast progenitor cell,basophil mast progenitor cell,CL:0002028,
Fc-epsilon RIalpha-low mast cell progenitor,Fc-epsilon RIalpha-low mast cell progenitor,CL:0002029,
Fc-epsilon RIalpha-high basophil progenitor cell,Fc-epsilon RIalpha-high basophil progenitor cell,CL:0002030,
hematopoietic lineage restricted progenitor cell,hematopoietic lineage restricted progenitor cell,CL:0002031,
hematopoietic oligopotent progenitor cell,hematopoietic oligopotent progenitor cell,CL:0002032,
short term hematopoietic stem cell,short term hematopoietic stem cell,CL:0002033,
long term hematopoietic stem cell,long term hematopoietic stem cell,CL:0002034,
Slamf1-negative multipotent progenitor cell,Slamf1-negative multipotent progenitor cell,CL:0002035,
Slamf1-positive multipotent progenitor cell,Slamf1-positive multipotent progenitor cell,CL:0002036,
"CD2-positive, CD5-positive, CD44-positive alpha-beta intraepithelial T cell","CD2-positive, CD5-positive, CD44-positive alpha-beta intraepithelial T cell",CL:0002037,
T follicular helper cell,T follicular helper cell,CL:0002038,
immature NK T cell stage I,immature NK T cell stage I,CL:0002039,
immature NK T cell stage II,immature NK T cell stage II,CL:0002040,
immature NK T cell stage III,immature NK T cell stage III,CL:0002041,
immature NK T cell stage IV,immature NK T cell stage IV,CL:0002042,
"CD34-positive, CD38-negative multipotent progenitor cell","CD34-positive, CD38-negative multipotent progenitor cell",CL:0002043,
"Kit-positive, integrin beta7-high basophil mast progenitor cell","Kit-positive, integrin beta7-high basophil mast progenitor cell",CL:0002044,
fraction A pre-pro B cell,fraction A pre-pro B cell,CL:0002045,
early pro-B cell,early pro-B cell,CL:0002046,
fraction B precursor B cell,fraction B precursor B cell,CL:0002047,
late pro-B cell,late pro-B cell,CL:0002048,
fraction C precursor B cell,fraction C precursor B cell,CL:0002049,
fraction C' precursor B cell,fraction C' precursor B cell,CL:0002050,
CD38-high pre-BCR positive cell,CD38-high pre-BCR positive cell,CL:0002051,
fraction D precursor B cell,fraction D precursor B cell,CL:0002052,
"CD22-positive, CD38-low small pre-B cell","CD22-positive, CD38-low small pre-B cell",CL:0002053,
fraction E immature B cell,fraction E immature B cell,CL:0002054,
CD38-negative immature B cell,CD38-negative immature B cell,CL:0002055,
fraction F mature B cell,fraction F mature B cell,CL:0002056,
"CD14-positive, CD16-negative classical monocyte","CD14-positive, CD16-negative classical monocyte",CL:0002057,
Gr1-low non-classical monocyte,Gr1-low non-classical monocyte,CL:0002058,
CD8alpha-positive thymic conventional dendritic cell,CD8alpha-positive thymic conventional dendritic cell,CL:0002059,
melanophage,melanophage,CL:0002060,
T-helper 9 cell,T-helper 9 cell,CL:0002061,
type I pneumocyte,type I pneumocyte,CL:0002062,
type II pneumocyte,type II pneumocyte,CL:0002063,
pancreatic acinar cell,pancreatic acinar cell,CL:0002064,
Feyrter cell,Feyrter cell,CL:0002066,
type A enteroendocrine cell,type A enteroendocrine cell,CL:0002067,
Purkinje myocyte,Purkinje myocyte,CL:0002068,
type II vestibular sensory cell,type II vestibular sensory cell,CL:0002069,
type I vestibular sensory cell,type I vestibular sensory cell,CL:0002070,
enterocyte of epithelium of large intestine,enterocyte of epithelium of large intestine,CL:0002071,
nodal myocyte,nodal myocyte,CL:0002072,
transitional myocyte,transitional myocyte,CL:0002073,
myocardial endocrine cell,myocardial endocrine cell,CL:0002074,
brush cell of trachebronchial tree,brush cell of trachebronchial tree,CL:0002075,
endo-epithelial cell,endo-epithelial cell,CL:0002076,
ecto-epithelial cell,ecto-epithelial cell,CL:0002077,
meso-epithelial cell,meso-epithelial cell,CL:0002078,
pancreatic ductal cell,pancreatic ductal cell,CL:0002079,
pancreatic centro-acinar cell,pancreatic centro-acinar cell,CL:0002080,
type II cell of carotid body,type II cell of carotid body,CL:0002081,
type II cell of adrenal medulla,type II cell of adrenal medulla,CL:0002082,
type I cell of adrenal medulla,type I cell of adrenal medulla,CL:0002083,
Boettcher cell,Boettcher cell,CL:0002084,
tanycyte,tanycyte,CL:0002085,
specialized cardiac myocyte,specialized cardiac myocyte,CL:0002086,
nongranular leukocyte,nongranular leukocyte,CL:0002087,
interstitial cell of Cajal,interstitial cell of Cajal,CL:0002088,
"group 2 innate lymphoid cell, mouse","group 2 innate lymphoid cell, mouse",CL:0002089,
polar body,polar body,CL:0002090,
primary polar body,primary polar body,CL:0002091,
bone marrow cell,bone marrow cell,CL:0002092,
secondary polar body,secondary polar body,CL:0002093,
interstitial cell of ovary,interstitial cell of ovary,CL:0002094,
hilus cell of ovary,hilus cell of ovary,CL:0002095,
internodal tract myocyte,internodal tract myocyte,CL:0002096,
cortical cell of adrenal gland,cortical cell of adrenal gland,CL:0002097,
regular cardiac myocyte,regular cardiac myocyte,CL:0002098,
type I cell of adrenal cortex,type I cell of adrenal cortex,CL:0002099,
regular interventricular cardiac myocyte,regular interventricular cardiac myocyte,CL:0002100,
CD38-positive naive B cell,CD38-positive naive B cell,CL:0002101,
CD38-negative naive B cell,CD38-negative naive B cell,CL:0002102,
IgG-positive double negative memory B cell,IgG-positive double negative memory B cell,CL:0002103,
IgG-negative double negative memory B cell,IgG-negative double negative memory B cell,CL:0002104,
CD38-positive IgG memory B cell,CD38-positive IgG memory B cell,CL:0002105,
IgD-positive CD38-positive IgG memory B cell,IgD-positive CD38-positive IgG memory B cell,CL:0002106,
IgD-negative CD38-positive IgG memory B cell,IgD-negative CD38-positive IgG memory B cell,CL:0002107,
CD38-negative IgG memory B cell,CD38-negative IgG memory B cell,CL:0002108,
B220-positive CD38-positive naive B cell,B220-positive CD38-positive naive B cell,CL:0002109,
B220-low CD38-positive naive B cell,B220-low CD38-positive naive B cell,CL:0002110,
CD38-negative unswitched memory B cell,CD38-negative unswitched memory B cell,CL:0002111,
B220-positive CD38-negative unswitched memory B cell,B220-positive CD38-negative unswitched memory B cell,CL:0002112,
B220-low CD38-negative unswitched memory B cell,B220-low CD38-negative unswitched memory B cell,CL:0002113,
CD38-positive unswitched memory B cell,CD38-positive unswitched memory B cell,CL:0002114,
B220-positive CD38-positive unswitched memory B cell,B220-positive CD38-positive unswitched memory B cell,CL:0002115,
B220-low CD38-positive unswitched memory B cell,B220-low CD38-positive unswitched memory B cell,CL:0002116,
IgG-negative class switched memory B cell,IgG-negative class switched memory B cell,CL:0002117,
CD38-negative IgG-negative class switched memory B cell,CD38-negative IgG-negative class switched memory B cell,CL:0002118,
CD38-positive IgG-negative class switched memory B cell,CD38-positive IgG-negative class switched memory B cell,CL:0002119,
CD24-positive CD38-negative IgG-negative class switched memory B cell,CD24-positive CD38-negative IgG-negative class switched memory B cell,CL:0002120,
CD24-negative CD38-negative IgG-negative class switched memory B cell,CD24-negative CD38-negative IgG-negative class switched memory B cell,CL:0002121,
B220-positive CD38-positive IgG-negative class switched memory B cell,B220-positive CD38-positive IgG-negative class switched memory B cell,CL:0002122,
B220-low CD38-positive IgG-negative class switched memory B cell,B220-low CD38-positive IgG-negative class switched memory B cell,CL:0002123,
CD27-positive gamma-delta T cell,CD27-positive gamma-delta T cell,CL:0002124,
CD27-negative gamma-delta T cell,CD27-negative gamma-delta T cell,CL:0002125,
"CD25-positive, CD27-positive immature gamma-delta T cell","CD25-positive, CD27-positive immature gamma-delta T cell",CL:0002126,
innate effector T cell,innate effector T cell,CL:0002127,
Tc17 cell,Tc17 cell,CL:0002128,
regular atrial cardiac myocyte,regular atrial cardiac myocyte,CL:0002129,
regular interatrial cardiac myocyte,regular interatrial cardiac myocyte,CL:0002130,
regular ventricular cardiac myocyte,regular ventricular cardiac myocyte,CL:0002131,
stromal cell of ovary,stromal cell of ovary,CL:0002132,
stromal cell of ovarian cortex,stromal cell of ovarian cortex,CL:0002133,
stromal cell of ovarian medulla,stromal cell of ovarian medulla,CL:0002134,
nonkeratinized cell of epidermis,nonkeratinized cell of epidermis,CL:0002135,
type II cell of adrenal cortex,type II cell of adrenal cortex,CL:0002136,
type III cell of adrenal cortex,type III cell of adrenal cortex,CL:0002137,
endothelial cell of lymphatic vessel,endothelial cell of lymphatic vessel,CL:0002138,
endothelial cell of vascular tree,endothelial cell of vascular tree,CL:0002139,
acinar cell of sebaceous gland,acinar cell of sebaceous gland,CL:0002140,
active chief cell of parathyroid gland,active chief cell of parathyroid gland,CL:0002141,
dark cell of eccrine sweat gland,dark cell of eccrine sweat gland,CL:0002142,
dark chief cell of parathyroid gland,dark chief cell of parathyroid gland,CL:0002143,
capillary endothelial cell,capillary endothelial cell,CL:0002144,
ciliated columnar cell of tracheobronchial tree,ciliated columnar cell of tracheobronchial tree,CL:0002145,
clear cell of eccrine sweat gland,clear cell of eccrine sweat gland,CL:0002146,
clear chief cell of parathyroid gland,clear chief cell of parathyroid gland,CL:0002147,
dental pulp cell,dental pulp cell,CL:0002148,
epithelial cell of uterus,epithelial cell of uterus,CL:0002149,
epithelioid macrophage,epithelioid macrophage,CL:0002150,
late promyelocyte,late promyelocyte,CL:0002151,
columnar cell of endocervix,columnar cell of endocervix,CL:0002152,
corneocyte,corneocyte,CL:0002153,
early promyelocyte,early promyelocyte,CL:0002154,
echinocyte,echinocyte,CL:0002155,
endosteal cell,endosteal cell,CL:0002157,
external epithelial cell of tympanic membrane,external epithelial cell of tympanic membrane,CL:0002158,
general ecto-epithelial cell,general ecto-epithelial cell,CL:0002159,
basal external epithelial cell of tympanic membrane,basal external epithelial cell of tympanic membrane,CL:0002160,
superficial external epithelial cell of tympanic membrane,superficial external epithelial cell of tympanic membrane,CL:0002161,
internal epithelial cell of tympanic membrane,internal epithelial cell of tympanic membrane,CL:0002162,
internal pillar cell of cochlea,internal pillar cell of cochlea,CL:0002163,
external pillar cell of cochlea,external pillar cell of cochlea,CL:0002164,
phalangeal cell,phalangeal cell,CL:0002165,
epithelial cell of Malassez,epithelial cell of Malassez,CL:0002166,
olfactory epithelial cell,olfactory epithelial cell,CL:0002167,
border cell of cochlea,border cell of cochlea,CL:0002168,
basal cell of olfactory epithelium,basal cell of olfactory epithelium,CL:0002169,
keratinized cell of the oral mucosa,keratinized cell of the oral mucosa,CL:0002170,
globose cell of olfactory epithelium,globose cell of olfactory epithelium,CL:0002171,
interdental cell of cochlea,interdental cell of cochlea,CL:0002172,
extraglomerular mesangial cell,extraglomerular mesangial cell,CL:0002173,
follicular cell of ovary,follicular cell of ovary,CL:0002174,
primary follicular cell of ovary,primary follicular cell of ovary,CL:0002175,
secondary follicular cell of ovary,secondary follicular cell of ovary,CL:0002176,
folliculostellate cell of pars distalis of adenohypophysis,folliculostellate cell of pars distalis of adenohypophysis,CL:0002177,
epithelial cell of stomach,epithelial cell of stomach,CL:0002178,
foveolar cell of stomach,foveolar cell of stomach,CL:0002179,
mucous cell of stomach,mucous cell of stomach,CL:0002180,
mucous neck cell of gastric gland,mucous neck cell of gastric gland,CL:0002181,
surface mucosal cell of stomach,surface mucosal cell of stomach,CL:0002182,
stem cell of gastric gland,stem cell of gastric gland,CL:0002183,
basal proper cell of olfactory epithelium,basal proper cell of olfactory epithelium,CL:0002184,
basal cell of epidermis,basal cell of epidermis,CL:0002187,
glomerular endothelial cell,glomerular endothelial cell,CL:0002188,
granular cell of epidermis,granular cell of epidermis,CL:0002189,
squamous cell of epidermis,squamous cell of epidermis,CL:0002190,
granulocytopoietic cell,granulocytopoietic cell,CL:0002191,
metamyelocyte,metamyelocyte,CL:0002192,
myelocyte,myelocyte,CL:0002193,
monopoietic cell,monopoietic cell,CL:0002194,
hepatic stem cell,hepatic stem cell,CL:0002195,
hepatic oval stem cell,hepatic oval stem cell,CL:0002196,
inactive chief cell of parathyoid gland,inactive chief cell of parathyoid gland,CL:0002197,
oncocyte,oncocyte,CL:0002198,
oxyphil cell of parathyroid gland,oxyphil cell of parathyroid gland,CL:0002199,
oxyphil cell of thyroid,oxyphil cell of thyroid,CL:0002200,
renal beta-intercalated cell,renal beta-intercalated cell,CL:0002201,
epithelial cell of tracheobronchial tree,epithelial cell of tracheobronchial tree,CL:0002202,
brush cell of epithelium proper of large intestine,brush cell of epithelium proper of large intestine,CL:0002203,
brush cell,brush cell,CL:0002204,
brush cell of lobular bronchiole,brush cell of lobular bronchiole,CL:0002205,
brush cell of terminal bronchiole,brush cell of terminal bronchiole,CL:0002206,
brush cell of trachea,brush cell of trachea,CL:0002207,
brush cell of bronchus,brush cell of bronchus,CL:0002208,
intermediate epitheliocyte,intermediate epitheliocyte,CL:0002209,
red muscle cell,red muscle cell,CL:0002210,
type I muscle cell,type I muscle cell,CL:0002211,
type II muscle cell,type II muscle cell,CL:0002212,
white muscle cell,white muscle cell,CL:0002213,
type IIa muscle cell,type IIa muscle cell,CL:0002214,
type IIb muscle cell,type IIb muscle cell,CL:0002215,
intermediate muscle cell,intermediate muscle cell,CL:0002216,
intermediate trophoblast cell,intermediate trophoblast cell,CL:0002217,
immature dendritic epithelial T cell precursor,immature dendritic epithelial T cell precursor,CL:0002218,
anchoring trophoblast,anchoring trophoblast,CL:0002219,
interstitial cell of pineal gland,interstitial cell of pineal gland,CL:0002220,
keratinized squamous cell of esophagus,keratinized squamous cell of esophagus,CL:0002221,
vertebrate lens cell,vertebrate lens cell,CL:0002222,
anterior lens cell,anterior lens cell,CL:0002223,
lens epithelial cell,lens epithelial cell,CL:0002224,
