Organ_Level,Organ_ID,Annotation_Label,Annotation_Label_ID,CL_Label,CL_ID,CL_Match,marker/1,marker/2,marker/3,marker/4,marker/5,marker/6,marker/7,marker/8,marker/9,marker/10
hippocampus,UBERON:0002421,LAMP5 KIT InN,CH:0000117,hippocampal interneuron,CL:1001569,skos:narrowMatch,UNC13C,KIT,ADAMTS20,NRG1,POU6F2,NOD2,PLAU,LILRA1,RASSF10,GIMAP5
hippocampus,UBERON:0002421,LAMP5 NMBR InN,CH:0000118,hippocampal interneuron,CL:1001569,skos:narrowMatch,SV2C,NXPH1,SERPINA1,GRHL3,PTK6,GADL1,NKX2-8,CTAGE1,CPSF4L,LILRA1
hippocampus,UBERON:0002421,MEIS2 SHISAL2B InN,CH:0000119,hippocampal interneuron,CL:1001569,skos:narrowMatch,GRAP,TOR4A,SERPINA1,RASSF10,FCGR2B,POU4F1,SORCS1,GRHL3,CSN1S1,CPXM1
hippocampus,UBERON:0002421,Macrophages,CH:0000120,macrophage,CL:0000235,skos:exactMatch,LILRB5,F13A1,MARCO,FCGR2B,SIGLEC1,GRHL3,SCTR,MS4A4E,PMAIP1,ANXA9
hippocampus,UBERON:0002421,NR2F2 InN,CH:0000121,hippocampal interneuron,CL:1001569,skos:narrowMatch,CXCL14,CNR1,ZNF385D,ADARB2,TOR4A,PDE3A,RASSF10,SERPINA1,CALCR,LILRA1
hippocampus,UBERON:0002421,OPC,CH:0000122,oligodendrocyte precursor cell,CL:0002453,skos:exactMatch,DSCAM,TNR,NRCAM,MEGF11,PDGFRA,CLDN1,SNTG1,KCNMB2,OPCML,GRM7
hippocampus,UBERON:0002421,Oligodendrocytes,CH:0000123,oligodendrocyte,CL:0000128,skos:exactMatch,PCDH9,PTGDS,QKI,MBP,TRIM59,DLG2,FNIP1,ATP10A,CADM2,ARHGEF10
hippocampus,UBERON:0002421,P2RY12+ microglia,CH:0000124,mature microglial cell,CL:0002629,skos:narrowMatch,FRMD4A,PLXDC2,ARHGAP24,CSGALNACT1,CELF2,LDLRAD4,FCN1,SLC1A3,ST6GAL1,SRGAP2
hippocampus,UBERON:0002421,PDLIM5+ granule cells,CH:0000125,hippocampal granule cell,CL:0001033,skos:narrowMatch,ARHGAP15,OTOF,PDLIM5,POSTN,EPHA5,WIPF3,ADAMTS6,P2RX2,BICC1,CDH12
hippocampus,UBERON:0002421,PVALB InN,CH:0000126,hippocampal interneuron,CL:1001569,skos:narrowMatch,PVALB,IBSP,SP5,MEPE,GDF6,CNTN5,GRIP1,NXPH1,PTK6,SNX20
hippocampus,UBERON:0002421,Pericytes,CH:0000127,pericyte,CL:0000669,skos:exactMatch,NDUFA4L2,ANXA9,LILRA1,LRRC25,GRHL3,FCGR2B,LILRB2,CTAGE1,RASSF10,CD163
hippocampus,UBERON:0002421,SGCZ+ granule cells,CH:0000128,hippocampal granule cell,CL:0001033,skos:narrowMatch,TLL1,TRPM3,VGLL3,SLIT3,NRG1,GRM1,GRIN3A,PDE3A,CDH18,ARHGEF28
hippocampus,UBERON:0002421,SST InN,CH:0000129,hippocampal interneuron,CL:1001569,skos:narrowMatch,SST,GRIK1,PTPRT,NXPH1,TRHDE,SLC9A4,GRID2,GPR139,KCNJ5,SNX20
hippocampus,UBERON:0002421,Sub DCN ExN,CH:0000130,hippocampal pyramidal neuron,CL:1001571,skos:narrowMatch,AGBL1,STAC,FAM163A,SLC5A7,SERPINA1,FCGR2B,OR52K1,RASSF10,LILRA1,MS4A4E
hippocampus,UBERON:0002421,T cells,CH:0000131,T cell,CL:0000084,skos:exactMatch,FCMR,APOL5,OR52K1,CTAGE1,ANXA9,HINT2,GRHL3,IRF4,GDF6,KCNK17
hippocampus,UBERON:0002421,VIP InN,CH:0000132,hippocampal interneuron,CL:1001569,skos:narrowMatch,ADARB2,GALNTL6,SYNPR,VIP,PENK,SCTR,SHISA8,OLFM3,CYP2S1,SNTG1
hippocampus,UBERON:0002421,VLMC,CH:0000133,vascular leptomeningeal cell,CL:4023051,skos:exactMatch,RASSF10,GRHL3,LRRC25,RD3,TOR4A,ANXA9,PTK6,C17orf64,HTR1D,SMYD1
hippocampus,UBERON:0002421,Venous SMC,CH:0000134,smooth muscle cell of the brain vasculature,CL:0002590,skos:exactMatch,CSN1S1,ANXA9,SNX20,GGT5,GRHL3,C22orf31,OR6J1,POU4F1,GDF6,SMYD1
intestine,UBERON:0000160,Arterial endothelial cells,CH:0000135,endothelial cell of artery,CL:1000413,skos:exactMatch,SEMA3G,TM4SF1,ABCA4,IGFBP3,FGF2,KLRC4,USHBP1,SELE,LINC01013,JPH2
intestine,UBERON:0000160,BEST4+ enterocytes,CH:0000136,enterocyte,CL:0000584,skos:narrowMatch,BEST4,OTOP2,CPA2,SPIB,SELE,DMBT1,MSLN,LINC01013,CDH4,TMEM26
intestine,UBERON:0000160,Capillary endothelial cells,CH:0000137,capillary endothelial cell,CL:0002144,skos:exactMatch,CD36,FLT1,VWF,RBP7,NPY,INHBB,TMEM88,NTS,SLC9A3R2,ABCA4
intestine,UBERON:0000160,Colonocytes,CH:0000138,enterocyte of epithelium of large intestine,CL:0002071,skos:exactMatch,GUCA2A,CXCL1,AQP8,MALAT1,CXCL2,MS4A12,CXCL3,SLC26A3,CEACAM7,CLDN18
intestine,UBERON:0000160,Cycling B cells,CH:0000139,B cell,CL:0000236,skos:narrowMatch,LINC01013,SELE,NPY,TAC1,AC007620.3,ABCA4,RGS13,CXCL5,TNFSF11,LINC00638
intestine,UBERON:0000160,Cycling/Secretory TA,CH:0000140,transit amplifying cell,CL:0009010,skos:narrowMatch,TFF3,FCGBP,FABP1,CCNB1,ITLN1,RPL39,CLCA4,PIGR,TSPAN8,ZG16
intestine,UBERON:0000160,DC1,CH:0000141,CD141-positive myeloid dendritic cell,CL:0002394,skos:exactMatch,IDO1,SELE,ABCA4,LY6K,TACSTD2,CPVL,SEMA3G,C5AR2,PIWIL1,SLC24A4
intestine,UBERON:0000160,DC2,CH:0000142,CD1c-positive myeloid dendritic cell,CL:0002399,skos:exactMatch,NPY,LINC01013,SELE,PI15,REN,KLHL14,LGALS2,LAIR2,CITED1,ZNF572
intestine,UBERON:0000160,Enterocytes,CH:0000143,enterocyte,CL:0000584,skos:exactMatch,ENPP7,APOA1,TM4SF20,RBP2,SLC7A9,GSTA1,SUSD2,SLC13A2,MME,FMO1
intestine,UBERON:0000160,Enteroendocrine cells,CH:0000144,enteroendocrine cell,CL:0000164,skos:exactMatch,SELE,EYS,KCNK3,NTS,SLC26A7,CERKL,TNFSF11,CXCL6,ABCA4,SIRPB2
intestine,UBERON:0000160,Follicular B cells,CH:0000145,follicular B cell,CL:0000843,skos:exactMatch,HLA-DRA,CD74,RPS26,HLA-DPB1,HLA-DPA1,CD52,CXCR4,NLRP11,SELE,CD79A
intestine,UBERON:0000160,Follicular helper T cells,CH:0000146,T follicular helper cell,CL:0002038,skos:exactMatch,PASK,ABCA4,CCR4,SELE,KLRB1,NPY,CXCL5,PCDH19,VIT,CMTM8
intestine,UBERON:0000160,Germinal center B cells,CH:0000147,germinal center B cell,CL:0000844,skos:exactMatch,RGS13,SELE,TNFSF11,C5AR2,ABCA4,PCDH19,KLRC4,LYG1,DNASE1L2,DIO2
intestine,UBERON:0000160,Glia,CH:0000148,glial cell,CL:0000125,skos:exactMatch,GFRA3,MYOT,FGFBP2,NTM,PCSK2,TTYH1,S100A1,MPZ,LRRTM1,COL28A1
intestine,UBERON:0000160,Goblet cells,CH:0000149,goblet cell,CL:0000160,skos:exactMatch,TFF3,TFF1,FCGBP,ATOH1,ABCA4,ZG16,OR8D4,BDNF,IZUMO2,LINC01013
intestine,UBERON:0000160,ILC,CH:0000150,innate lymphoid cell,CL:0001065,skos:exactMatch,TNFSF11,PCDH9,KRT86,SELE,IL7R,LST1,LINC00299,TNFSF4,MMP17,NPY
intestine,UBERON:0000160,Immature goblet cells,CH:0000151,goblet cell,CL:0000160,skos:narrowMatch,FCGBP,KLK1,ITLN1,TFF3,CLCA1,SPINK1,SELE,NPY,LINC01013,CXCL5
intestine,UBERON:0000160,Intestinal macrophages,CH:0000152,macrophage,CL:0000235,skos:narrowMatch,CD209,NPY,SELE,ABCA4,KLHL14,SEMA3G,IZUMO2,ITGA9,SHE,LZTS1
intestine,UBERON:0000160,Lymphatic endothelial cells,CH:0000153,endothelial cell of lymphatic vessel,CL:0002138,skos:exactMatch,NTS,SEMA3A,SCN3B,TFPI,PARD6G,RADIL,NTN1,MSMP,FZD10,AFAP1L1
intestine,UBERON:0000160,Macrophages,CH:0000154,macrophage,CL:0000235,skos:exactMatch,FTL,HLA-DRA,HLA-DPB1,AIF1,RNASE1,CD74,SAT1,FAM72D,TYROBP,IGHA1
intestine,UBERON:0000160,Mast cells,CH:0000155,mast cell,CL:0000097,skos:exactMatch,TPSAB1,HPGDS,CPA3,VIT,LINC00887,CXCL5,KLHL14,KLRC4,NPY,CLEC17A
intestine,UBERON:0000160,Memory B cells,CH:0000156,memory B cell,CL:0000787,skos:exactMatch,RPS17,IGHA2,LINC01013,TXNIP,KLRC4,SELE,GALNTL6,CXCL5,ACTB,ZFP37
intestine,UBERON:0000160,Monocytes,CH:0000157,monocyte,CL:0000576,skos:exactMatch,S100A8,FCN1,GLT1D1,ABCA4,SELE,ASIC3,CITED1,TAC1,LINC01013,CCR4
intestine,UBERON:0000160,Myofibroblasts,CH:0000158,myofibroblast cell,CL:0000186,skos:exactMatch,ACTG2,HSD17B6,SOSTDC1,MYH11,GREM1,TAGLN,PI15,LINC01013,ACTA2,ABCA4
intestine,UBERON:0000160,NK cells,CH:0000159,natural killer cell,CL:0000623,skos:exactMatch,TYROBP,FCER1G,KLRF1,FGFBP2,CLIC3,LINC01013,CRYBB3,ABCA4,TAC1,SELE
intestine,UBERON:0000160,Naive B cells,CH:0000160,naive B cell,CL:0000788,skos:exactMatch,IGHM,CLEC17A,YBX3,CXCL5,SELE,CSF3,ABCA4,SIRPB2,CD79B,FOXP3
intestine,UBERON:0000160,Paneth,CH:0000161,paneth cell,CL:0000510,skos:exactMatch,REG3A,FABP6,DEFA6,DEFA5,DCN,OLFM4,MGP,GSTA1,IGHA1,CFD
intestine,UBERON:0000160,Pericytes,CH:0000162,pericyte,CL:0000669,skos:exactMatch,HEYL,KCNA5,DGKG,LDB3,SRL,JPH2,NOTCH3,SELE,BRSK2,IGFBP7
intestine,UBERON:0000160,Plasma cells,CH:0000163,plasma cell,CL:0000786,skos:exactMatch,DERL3,CCR10,MZB1,TNFRSF17,IGLL1,CD79A,MEI1,IGHA2,DNAJB9,SLAMF7
intestine,UBERON:0000160,Regulatory T cells,CH:0000164,regulatory T cell,CL:0000815,skos:exactMatch,IL32,RGS1,TIGIT,FOXP3,S100A4,F5,SRGN,LAIR2,TBC1D4,ICA1
intestine,UBERON:0000160,Stem cells,CH:0000165,stem cell,CL:0000034,skos:exactMatch,LGR5,SELE,CLCA2,TAC1,CATSPER3,MMP17,SEMA3G,GAS5-AS1,FER1L6,LINC01013
intestine,UBERON:0000160,Stromal 1,CH:0000166,stromal cell,CL:0000499,skos:narrowMatch,HAPLN1,TDO2,LUM,APOE,DCN,CFD,EVA1A,MEG3,TCF21,C1S
intestine,UBERON:0000160,Stromal 2,CH:0000167,stromal cell,CL:0000499,skos:narrowMatch,VSTM2A,PLAT,ENHO,CXCL14,AGT,BMP4,TRPA1,F3,FRZB,NSG1
intestine,UBERON:0000160,Stromal 3,CH:0000168,stromal cell,CL:0000499,skos:narrowMatch,PCOLCE2,PI16,AOX1,PODN,PRELP,THBS2,C3,PTGIS,PRRX1,C1QTNF7
intestine,UBERON:0000160,TA,CH:0000169,transit amplifying cell,CL:0009010,skos:exactMatch,PIGR,IGKC,REG1A,PHGR1,C15orf48,MT-CO3,OLFM4,IGHV3-7,MT-CO1,IGHV3-74
intestine,UBERON:0000160,Tcm/Naive helper T cells,CH:0000170,"central memory CD4-positive, alpha-beta T cell",CL:0000904,skos:exactMatch,MALAT1,TSHZ2,RPS21,LTB,TMSB10,TMSB4X,LDHB,RPL36A,RPL39,ASIC3
intestine,UBERON:0000160,Tem/Effector helper T cells,CH:0000171,"effector memory CD4-positive, alpha-beta T cell",CL:0000905,skos:exactMatch,ANXA1,S100A4,RPSA,TNFRSF4,TIMP1,LTB,KLRB1,MT-CYB,RPS12,IL32
intestine,UBERON:0000160,Tem/Trm cytotoxic T cells,CH:0000172,"effector memory CD8-positive, alpha-beta T cell",CL:0000913,skos:narrowMatch,GZMK,NKG7,CST7,CCL5,DUSP2,TNFSF11,SELE,CRTAM,LINC01013,CTSW
intestine,UBERON:0000160,Trm cytotoxic T cells,CH:0000173,"effector memory CD8-positive, alpha-beta T cell",CL:0000913,skos:narrowMatch,CCL5,TMSB4X,IGHA1,EEF1A1,SPTSSB,B2M,RPLP1,MALAT1,CD52,CLEC17A
intestine,UBERON:0000160,Tuft cells,CH:0000174,intestinal tuft cell,CL:0019032,skos:exactMatch,SH2D6,GNG13,KLK13,HMX2,SH2D7,HTR3C,HTR3E,ALOX12B,BMX,PTCHD1
intestine,UBERON:0000160,Type 1 helper T cells,CH:0000175,T-helper 1 cell,CL:0000545,skos:exactMatch,CCL5,KLRB1,RPS17,RGCC,IL7R,CEBPB,LYAR,CXCR3,SELE,OPRM1
intestine,UBERON:0000160,Type 17 helper T cells,CH:0000176,T-helper 17 cell,CL:0000899,skos:exactMatch,ANXA1,CCL20,CEBPD,IL4I1,KLRK1,RPLP0,PLXNA4,MT-ND4L,GPR42,YWHAH
intestine,UBERON:0000160,Venous endothelial cells,CH:0000177,vein endothelial cell,CL:0002543,skos:exactMatch,MADCAM1,CPE,EGFL7,TLL1,ZNF385D,VWF,CCL14,FAM155A,LINC01013,KLK10
intestine,UBERON:0000160,gamma-delta T cells,CH:0000178,gamma-delta T cell,CL:0000798,skos:exactMatch,KIR2DL4,KLRC2,LAYN,ATP8B4,KLRC3,TGFBR3L,LINC01013,ITGA1,SELE,LRRC70
kidney,UBERON:0002113,B cells,CH:0000179,B cell,CL:0000236,skos:exactMatch,CD79A,IGHA2,VPREB3,P2RX5,MS4A1,FCRLA,TNFRSF13C,CD180,CD79B,CD19
kidney,UBERON:0002113,C-TAL,CH:0000180,kidney loop of Henle cortical thick ascending limb epithelial cell,CL:1001109,skos:exactMatch,SLC12A1,UMOD,ERBB4,S100A2,HCAR2,TMEM52B,FOXCUT,AQP2,CASR,CLDN16
kidney,UBERON:0002113,CCD-IC-A,CH:0000181,kidney collecting duct alpha-intercalated cell,CL:4030015,skos:exactMatch,SLC26A7,ADGRF5,B2M,C12orf75,MIA,LGALS3,MALAT1,IGFBP5,CKB,CLNK
kidney,UBERON:0002113,CNT,CH:0000182,kidney connecting tubule epithelial cell,CL:1000768,skos:exactMatch,SLC8A1,CALB1,FXYD2,SLC14A2,RHCG,AC013463.2,MPPED2,KLK5,PRKG1,LINC01099
kidney,UBERON:0002113,Classical monocytes,CH:0000183,classical monocyte,CL:0000860,skos:exactMatch,S100A12,CSF3R,S100A8,LRRC70,KIR3DL1,CTD-2243E23.1,ASGR2,CORT,AC004009.3,CTB-4E7.1
kidney,UBERON:0002113,DC,CH:0000184,"dendritic cell, human",CL:0001056,skos:exactMatch,LYZ,CYTL1,HLA-DPA1,LCN6,CLEC9A,LRRC26,RP11-359J14.2,RP3-402G11.25,TMSB4X,RP11-304C12.5
kidney,UBERON:0002113,DC2,CH:0000185,CD1c-positive myeloid dendritic cell,CL:0002399,skos:exactMatch,CLEC10A,LAIR2,KIR3DL1,RP11-214O1.3,SLC1A7,CTB-4E7.1,CXCL9,SIGLEC1,MLC1,CADM3-AS1
kidney,UBERON:0002113,DCT,CH:0000186,kidney distal convoluted tubule epithelial cell,CL:1000849,skos:exactMatch,SLC12A3,SRRM4,TMEM52B,TRPM7,LINC01176,RP11-2N1.2,CTD-2243E23.1,PCDHGA3,LYPD2,ABCA5
kidney,UBERON:0002113,DTL,CH:0000187,kidney loop of Henle thin descending limb epithelial cell,CL:1001111,skos:exactMatch,NUPR1,CRYAB,FXYD2,SLC5A3,B2M,GSTP1,IGFBP7,TPM1,PGLYRP1,PLP1
kidney,UBERON:0002113,EC-AEA,CH:0000188,endothelial cell of arteriole,CL:1000412,skos:narrowMatch,MS4A14,TRGV9,KIR2DL3,GPR182,RP11-387A1.5,PI16,THRIL,RP11-33A14.1,LYPD2,RP11-598F7.3
kidney,UBERON:0002113,EC-AVR,CH:0000189,vasa recta ascending limb cell,CL:1001131,skos:exactMatch,GPM6A,LDB2,PLVAP,RP11-290O12.2,TRGV9,RASA4,CADM3-AS1,ZNF385D,TMEM119,LCN6
kidney,UBERON:0002113,EC-DVR,CH:0000190,vasa recta descending limb cell,CL:1001285,skos:exactMatch,TIMP3,ARL15,ENPP2,CLDN5,ELMO1,LYPD2,DOCK9-AS1,CATSPER1,RP11-108L7.15,MS4A14
kidney,UBERON:0002113,EC-GC,CH:0000191,glomerular capillary endothelial cell,CL:1001005,skos:exactMatch,SOST,PLAT,CRHBP,LRRC70,EHD3,ITGA8,C1QTNF1-AS1,HECW2,LYPD2,SCT
kidney,UBERON:0002113,EC-LYM,CH:0000192,endothelial cell of lymphatic vessel,CL:0002138,skos:exactMatch,CCL21,MMRN1,TBX1,MLC1,RP4-575N6.4,THRIL,GJD2,RP11-16E18.3,LINC00298,GJA3
kidney,UBERON:0002113,EC-PTC,CH:0000193,peritubular capillary endothelial cell,CL:1001033,skos:exactMatch,PLVAP,EGFL7,LZTS1-AS1,CA4,RNASE1,RGCC,PITPNC1,CTB-4E7.1,CD59,HSPG2
kidney,UBERON:0002113,FIB/aFIB,CH:0000194,kidney interstitial fibroblast,CL:1000692,skos:exactMatch,NEGR1,CALD1,SORBS1,C7,LINC00298,RP11-33A14.1,SAMHD1,SCN4B,FCRLA,LYPD2
kidney,UBERON:0002113,IC-A,CH:0000195,kidney collecting duct alpha-intercalated cell,CL:4030015,skos:exactMatch,RP11-324E6.6,HYAL4,CTD-3118D11.2,HS6ST3,RP11-814P5.1,ADAM2,DRD2,STAP1,AC108938.5,SLC26A4-AS1
kidney,UBERON:0002113,IC-B,CH:0000196,kidney collecting duct beta-intercalated cell,CL:4030005,skos:exactMatch,SLC26A4,SLC4A9,GPRC6A,INSRR,ATP6V1G3,HMX2,PACRG-AS2,KRT7,LINC01187,FGF5
kidney,UBERON:0002113,IMCD,CH:0000197,kidney inner medulla collecting duct epithelial cell,CL:1000547,skos:exactMatch,SLC14A2,AC003090.1,HS3ST5,CAPN8,KIR3DL1,MS4A14,AC005616.2,ERN2,SLC14A2-AS1,RP11-793A3.1
kidney,UBERON:0002113,M-FIB,CH:0000198,renal medullary fibroblast,CL:4030022,skos:exactMatch,LINC01592,GDF3,IGFN1,RP4-777L9.2,CTA-212A2.4,LYPD2,TRIM72,KIF19,TRGV9,ACAN
kidney,UBERON:0002113,M-TAL,CH:0000199,kidney loop of Henle medullary thick ascending limb epithelial cell,CL:1001108,skos:exactMatch,UMOD,FXYD2,SLC12A1,MTRNR2L8,MT-ATP6,ATP1B1,RPLP1,MT-ND4,DHFR,RP11-457K10.1
kidney,UBERON:0002113,Myeloid,CH:0000200,myeloid cell,CL:0000763,skos:exactMatch,RP11-142C4.6,CTD-2282P23.2,LRRC70,TNNT1,CYTL1,ICAM4,LYPD2,RP11-489O18.1,PACRG-AS2,AC092657.2
kidney,UBERON:0002113,NK cells,CH:0000201,natural killer cell,CL:0000623,skos:exactMatch,GNLY,KLRB1,FCER1G,NKG7,SH2D1B,CLIC3,CXCR1,ERN2,MLC1,KLRF1
kidney,UBERON:0002113,Non-classical monocytes,CH:0000202,non-classical monocyte,CL:0000875,skos:exactMatch,FCGR3A,CASP5,LYPD2,THRIL,MIA,LST1,KCNA3,GJD2,TRGV9,IGFN1
kidney,UBERON:0002113,PC,CH:0000203,renal principal cell,CL:0005009,skos:exactMatch,FXYD4,AQP2,SLC12A3,AC005780.1,RP11-469H8.8,TMSB4X,HSD11B2,KLK1,RP3-403A15.5,TOX
kidney,UBERON:0002113,PEC,CH:0000204,parietal epithelial cell,CL:1000452,skos:exactMatch,ALDH1A2,LINC01435,ZFPM2,KIRREL3,RP11-1082L8.3,LYPD2,MS4A14,MESTIT1,LRFN2,KLK3
kidney,UBERON:0002113,PT,CH:0000205,epithelial cell of proximal tubule,CL:0002306,skos:exactMatch,FABP1,DDC,RP11-397G17.1,GSTA2,C11orf54,GSTA1,CTXN3,ANGPTL3,DAB2,ASPDH
kidney,UBERON:0002113,PT-S1/2,CH:0000206,epithelial cell of proximal tubule,CL:0002306,skos:narrowMatch,CUBN,ACSM2A,RAB11FIP3,FKBP5,NKX6-2,PTH2R,PRODH2,FTCD,SLC4A4,GPHN
kidney,UBERON:0002113,PT-S3,CH:0000207,epithelial cell of proximal tubule segment 3,CL:4030011,skos:exactMatch,SYNE2,LYPD2,STOX2,SLC30A8,LRP2,TPPP2,CTC-340I23.2,SLC1A7,RP3-402G11.25,DRD2
kidney,UBERON:0002113,Podocytes,CH:0000208,podocyte,CL:0000653,skos:exactMatch,RP11-993B23.3,RP11-550H2.2,SERPINI2,ADAMTS19,RP11-752D24.2,GRIK1-AS1,RP11-945C19.4,RP11-123K19.1,RP11-793A3.1,TRIM54
kidney,UBERON:0002113,T cells,CH:0000209,T cell,CL:0000084,skos:exactMatch,IL7R,TRAC,TRGV5,CD8B,AC022182.3,CD3D,HCST,TRBC1,RP11-544D21.2,CD8A
kidney,UBERON:0002113,T/NK,CH:0000210,lymphocyte,CL:0000542,skos:narrowMatch,SLC8A3,FCGR3B,ALAS2,CELF2,PAX5,ARHGAP15,TMEM119,CLEC5A,CTD-3116E22.8,LINC00298
kidney,UBERON:0002113,VSMC,CH:0000211,vascular associated smooth muscle cell,CL:0000359,skos:exactMatch,ADRA1A,MS4A14,LYPD2,ATOH7,GJD2,SRPK3,C1QTNF1-AS1,RP4-539M6.22,RP11-214O1.3,KIR2DL4
kidney,UBERON:0002113,VSMC/P,CH:0000212,vascular associated smooth muscle cell,CL:0000359,skos:narrowMatch,TAGLN,HIGD1B,TIMP3,ADGRB3,DLC1,REN,MGP,C1QTNF1-AS1,CALD1,SCN4B
kidney,UBERON:0002113,aPT,CH:0000213,epithelial cell of proximal tubule,CL:0002306,skos:narrowMatch,ACSM2A,MALAT1,CEACAM6,TFF2,DHH,IGHV5-51,RIPPLY1,IGFN1,PTPRD,DCDC2C
kidney,UBERON:0002113,aTAL,CH:0000214,kidney loop of Henle thick ascending limb epithelial cell,CL:1001106,skos:exactMatch,CRIP1,ITM2C,MUC1,SLPI,WFDC2,KRT7,PLCB1,KRT5,SPOCD1,KIR2DL3
kidney,UBERON:0002113,dATL,CH:0000215,kidney loop of Henle thin ascending limb epithelial cell,CL:1001107,skos:narrowMatch,SH3GL3,NKX6-2,LINC00298,MS4A14,RP1-276N6.2,PTPRG,PCDHGA3,PAX8,MEIKIN,CEACAM6
kidney,UBERON:0002113,dC-IC-A,CH:0000216,kidney collecting duct intercalated cell,CL:1001432,skos:narrowMatch,ATP6V1G3,NDUFV2,CALB1,LYPD2,SPINK1,C12orf75,NCR1,RP11-351A20.1,ATP6V0D2,LRRC70
kidney,UBERON:0002113,dM-FIB,CH:0000217,renal medullary fibroblast,CL:4030022,skos:narrowMatch,LTBP1,KCNA3,KLRC2,NCR1,LINC00298,SLC1A7,GJD2,SLPI,FNDC1,MALAT1
kidney,UBERON:0002113,dPT,CH:0000218,epithelial cell of proximal tubule,CL:0002306,skos:narrowMatch,FTL,ALDOB,HLA-A,SCT,AQP1,NLRP7,RP6-91H8.3,TNIP3,KIF19,TPT1
kidney,UBERON:0002113,dVSMC,CH:0000219,vascular associated smooth muscle cell,CL:0000359,skos:narrowMatch,PLN,DES,ACTA2,TAGLN,MYH11,IGHA2,C11orf96,TPM2,LYPD2,ASB10
liver,UBERON:0002107,B cells,CH:0000220,B cell,CL:0000236,skos:exactMatch,CD79A,MS4A1,FCRLA,VPREB3,HLA-DRA,BANK1,TCL1A,CXCR5,CD79B,BLK
liver,UBERON:0002107,CD16+ NK cells,CH:0000221,"CD16-positive, CD56-dim natural killer cell, human",CL:0000939,skos:exactMatch,FCER1G,TYROBP,GNLY,GZMB,FCGR3A,IGFBP7,FGFBP2,SPON2,CLIC3,HOPX
liver,UBERON:0002107,CD16- NK cells,CH:0000222,"CD16-negative, CD56-bright natural killer cell, human",CL:0000938,skos:exactMatch,FCER1G,CLIC3,KLRF1,CMC1,KLRC1,CD160,XCL1,TYROBP,CD7,GZMK
liver,UBERON:0002107,CD4 T cells,CH:0000223,"CD4-positive, alpha-beta T cell",CL:0000624,skos:exactMatch,KLF2,TPT1,LTB,CD52,S100A4,MYL12A,ARHGAP31-AS1,RPSA,TSHZ2,PGLYRP1
liver,UBERON:0002107,Central venous LSECs,CH:0000224,endothelial cell of pericentral hepatic sinusoid,CL:0019022,skos:exactMatch,STAB2,STAB1,CLEC1B,OIT3,FCN2,PTPRB,EHD3,MRO,ANO2,PVALB
liver,UBERON:0002107,Cholangiocytes,CH:0000225,cholangiocyte,CL:1000488,skos:exactMatch,B3GNT3,VSIG2,IL20RA,ADRA2A,CHST4,RAB25,CLIC6,KCNJ16,C11orf52,KRT80
liver,UBERON:0002107,Classical monocytes,CH:0000226,classical monocyte,CL:0000860,skos:exactMatch,GPX1,LYZ,HLA-DRA,S100A12,VCAN,TYROBP,ASGR1,ARHGAP31-AS1,MS4A6A,FCN1
liver,UBERON:0002107,DC1,CH:0000227,CD141-positive myeloid dendritic cell,CL:0002394,skos:exactMatch,XCR1,CLEC9A,IDO1,C1orf54,FXYD6-FXYD2,LL0XNC01-7P3.1,AP000439.1,AC009133.17,ZNF99,ALDH3A1
liver,UBERON:0002107,DC2,CH:0000228,CD1c-positive myeloid dendritic cell,CL:0002399,skos:exactMatch,CLEC10A,LGALS2,LYZ,SHISA2,LL0XNC01-7P3.1,CSF2,EDA2R,CTD-2035E11.4,TDRD1,SERF1B
liver,UBERON:0002107,Fibroblasts,CH:0000229,fibroblast,CL:0000057,skos:exactMatch,LHX2,POSTN,CCBE1,FXYD6-FXYD2,ADAMTS9-AS2,CLDN19,SERF1B,NDUFA4L2,IL24,ANKRD30B
liver,UBERON:0002107,Immune mix,CH:0000230,cell,CL:0000000,skos:narrowMatch,ALB,TMSB4X,B2M,APOC3,RPS27,TMSB10,MALAT1,RPL21,HLA-B,RPS29
liver,UBERON:0002107,Inflammatory macrophages,CH:0000231,inflammatory macrophage,CL:0000863,skos:exactMatch,C1QB,C1QC,HLA-DPA1,MS4A6A,HLA-DQA1,C1QA,MS4A7,CEBPD,GPR183,LYZ
liver,UBERON:0002107,Interzonal hepatocytes,CH:0000232,midzonal region hepatocyte,CL:0019028,skos:exactMatch,FTL,ALB,HLA-A,DHFR,SAA1,RPS12,TTR,FGFR2,APOC3,FTH1
liver,UBERON:0002107,MAIT cells,CH:0000233,mucosal invariant T cell,CL:0000940,skos:exactMatch,KLRB1,IL7R,SLC4A10,CEBPD,NCR3,S100A4,ZBTB16,SAA2,PRF1,ACTB
liver,UBERON:0002107,Macrophages,CH:0000234,macrophage,CL:0000235,skos:exactMatch,PABPC3,PCDHB10,CLDN19,EPHX3,FXYD6-FXYD2,CD163,ADAMTS2,MS4A4E,LL0XNC01-7P3.1,TMEM253
liver,UBERON:0002107,Migratory DCs,CH:0000235,"dendritic cell, human",CL:0001056,skos:narrowMatch,CCL19,LAMP3,BEST4,STC2,CTD-2035E11.4,ISL2,SERF1B,LL0XNC01-7P3.1,KIR2DL4,MEIS1-AS2
